Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68389666,3/20/2026 2:17,3/20/2026 2:17,DOT,Department of Transportation,Street Condition,Pothole,,,10036,8 AVENUE,8 AVENUE,WEST   41 STREET,WEST   42 STREET,,,BLOCKFACE,MANHATTAN,,N/A,Closed,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3/20/2026 2:17,04 MANHATTAN,,Precinct 14,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
68388700,3/20/2026 2:13,,DOT,Department of Transportation,Street Condition,Pothole,,,11436,,,,,130 AVENUE,150 STREET,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:13,12 QUEENS,28,Precinct 113,,QUEENS,"1,042,830","183,382",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.66982416,-73.78882942,POINT (-73.788829418588 40.669824163232)
68379162,3/20/2026 2:11,,DOT,Department of Transportation,Street Condition,Pothole,,,11426,,,,,COMMONWEALTH BOULEVARD,UNION TURNPIKE,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:11,13 QUEENS,23,Precinct 105,,QUEENS,"1,060,487","209,504",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7413881,-73.72488367,POINT (-73.724883670092 40.741388099184)
68388814,3/20/2026 2:06,,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11219,1470 55 STREET,55 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,55 STREET,,In Progress,,,,12 BROOKLYN,44,Precinct 66,3056850032,BROOKLYN,"986,473","168,608",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62946627,-73.99199133,POINT (-73.991991330218 40.629466268571)
68379716,3/20/2026 2:05,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Stoop Line Stand,Unlicensed,Business,11214,20 AVENUE,20 AVENUE,20 AVENUE,86 STREET,20 AVENUE,86 STREET,INTERSECTION,,,,In Progress,,,,11 BROOKLYN,38,Precinct 62,,BROOKLYN,"984,735","159,552",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60460969,-73.99825337,POINT (-73.998253369894 40.604609691958)
68385634,3/20/2026 2:05,,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),N/A,3+ Family Apartment Building,10032,10 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,BROADWAY,WEST 160 STREET,BROADWAY,WEST 160 STREET,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,,In Progress,,,,12 MANHATTAN,07,Precinct 33,1021370070,MANHATTAN,"999,594","243,741",PHONE,Unspecified,MANHATTAN,,,,,,,,40.83567474,-73.94454975,POINT (-73.944549749359 40.835674740261)
68388896,3/20/2026 2:04,,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,,Street/Sidewalk,11106,32-50 VERNON BOULEVARD,VERNON BOULEVARD,10 STREET,9 STREET,10 STREET,9 STREET,ADDRESS,ASTORIA,VERNON BOULEVARD,,In Progress,,,,01 QUEENS,22,Precinct 114,4003130001,QUEENS,"1,001,539","218,793",MOBILE,Unspecified,QUEENS,,,,,,,,40.76719574,-73.93758514,POINT (-73.937585136415 40.767195735981)
68385654,3/20/2026 2:04,,NYPD,New York City Police Department,Traffic,Chronic Speeding,,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,,In Progress,,,,08 QUEENS,24,Precinct 107,4068290001,QUEENS,"1,037,000","202,363",ONLINE,Unspecified,QUEENS,,,,,,,,40.72195913,-73.80969682,POINT (-73.809696824262 40.721959131993)
68387374,3/20/2026 2:04,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Blocking Driveway,Street/Sidewalk,10468,19 WEST 192 STREET,WEST 192 STREET,JEROME AVENUE,DAVIDSON AVENUE,JEROME AVENUE,DAVIDSON AVENUE,ADDRESS,BRONX,WEST 192 STREET,,In Progress,,,,07 BRONX,14,Precinct 52,2032020066,BRONX,"1,012,004","254,780",MOBILE,Unspecified,BRONX,,,,,,,,40.86594322,-73.89965674,POINT (-73.899656740659 40.865943223711)
68390481,3/20/2026 2:04,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11237,1401 MADISON STREET,MADISON STREET,IRVING AVENUE,RIDGEWOOD PLACE,IRVING AVENUE,RIDGEWOOD PLACE,ADDRESS,BROOKLYN,MADISON STREET,,In Progress,,,,04 BROOKLYN,37,Precinct 83,3033630021,BROOKLYN,"1,009,084","193,506",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6977712,-73.91044035,POINT (-73.910440349261 40.6977711953)
68316299,3/13/2026 10:08,3/13/2026 10:13,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,N/A,Park,11206,286 LORIMER STREET,LORIMER STREET,BOERUM STREET,MONTROSE AVENUE,BOERUM STREET,MONTROSE AVENUE,ADDRESS,BROOKLYN,LORIMER STREET,,Closed,,This request has been referred to Parks Enforcement Patrol and will be monitored in upcoming patrols.,3/13/2026 10:13,01 BROOKLYN,34,Precinct 90,3030680001,BROOKLYN,"998,673","196,313",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70549884,-73.94797985,POINT (-73.947979848888 40.705498843328)
68317701,3/13/2026 10:08,3/13/2026 12:31,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,10454,720 EAST 144 STREET,EAST 144 STREET,JACKSON AVENUE,CONCORD AVENUE,JACKSON AVENUE,CONCORD AVENUE,ADDRESS,BRONX,EAST 144 STREET,,Closed,,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",3/13/2026 12:31,01 BRONX,08,Precinct 40,2025730081,BRONX,"1,009,100","234,252",ONLINE,Unspecified,BRONX,,,,,,,,40.8096085,-73.91023206,POINT (-73.910232063092 40.809608503564)
68262019,3/9/2026 13:29,,DSNY,Department of Sanitation,Graffiti,Graffiti,,,10452,1351 JEROME AVENUE,JEROME AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,3/16/2026 6:44,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",3/11/2026 6:44,04 BRONX,16,Precinct 44,2028560011,BRONX,"1,006,801","245,092",UNKNOWN,Unspecified,BRONX,,,,,,,,40.83936738,-73.91850051,POINT (-73.918500514408 40.839367379471)
68271243,3/9/2026 13:25,3/9/2026 17:26,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,11377,43-05 52 STREET,52 STREET,43 AVENUE,QUEENS BOULEVARD,43 AVENUE,QUEENS BOULEVARD,ADDRESS,WOODSIDE,52 STREET,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",3/9/2026 17:26,02 QUEENS,26,Precinct 108,4013210053,QUEENS,"1,008,489","210,311",ONLINE,Unspecified,QUEENS,Truck,,,,,,,40.74389849,-73.9125256,POINT (-73.91252559599 40.743898492609)
68263482,3/9/2026 13:16,3/10/2026 3:04,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Subway,,,,,,,,,,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,3/10/2026 3:04,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"987,039","202,831",MOBILE,Unspecified,MANHATTAN,,,,F,F Downtown & Brooklyn,,Platform,40.72340051,-73.98993807,POINT (-73.989938073555 40.723400511492)
68267599,3/9/2026 13:07,3/12/2026 6:13,DOT,Department of Transportation,Highway Condition,Pothole - Highway,N/A,Highway,,,,,,,,,,,,Closed,,,3/12/2026 6:13,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,Henry Hudson Pkwy/Rt 9A,North/Bronx Bound,Roadway,W 158 St (Exit 13) - G Washington Br Cross Bronx Expwy W 178 St (Exit 14),,,
68267255,3/9/2026 2:31,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11213,763 EASTERN PARKWAY,EASTERN PARKWAY,BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,ADDRESS,BROOKLYN,EASTERN PARKWAY,,In Progress,,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",3/10/2026 10:56,08 BROOKLYN,35,Precinct 77,3012640023,BROOKLYN,"1,000,013","183,186",ONLINE,Unspecified,BROOKLYN,Car Service,BROOKLYN,"763 EASTERN PARKWAY, BROOKLYN, NY, 11213",,,,,40.66946596,-73.94317752,POINT (-73.943177517794 40.669465961244)
68252816,3/9/2026 2:04,3/9/2026 2:18,NYPD,New York City Police Department,Panhandling,N/A,,Subway,,,,,,,,,,,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",3/9/2026 2:18,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"1,001,526","232,252",ONLINE,Unspecified,MANHATTAN,,,,5,,,Mezzanine,40.80413711,-73.93759745,POINT (-73.937597454298 40.804137114221)
68265779,3/9/2026 2:00,3/10/2026 17:04,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),NR3,,10471,221 WEST  251 STREET,WEST  251 STREET,OLD ALBANY POST RD,FIELDSTON TER,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,3/10/2026 17:04,08 BRONX,11,Precinct 50,2058251501,BRONX,"1,012,606","265,641",ONLINE,Unspecified,BRONX,,,,,,,,40.89575136,-73.89743426,POINT (-73.89743426305 40.895751356978)
68249987,3/9/2026 1:59,3/9/2026 5:29,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11233,2382 DEAN STREET,DEAN STREET,EASTERN PARKWAY,MOTHER GASTON BOULEVARD,EASTERN PARKWAY,MOTHER GASTON BOULEVARD,ADDRESS,BROOKLYN,DEAN STREET,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",3/9/2026 5:29,16 BROOKLYN,37,Precinct 73,3014490060,BROOKLYN,"1,009,618","185,069",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67461206,-73.90854634,POINT (-73.908546335451 40.67461205956)
68042293,2/19/2026 12:48,2/19/2026 13:49,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,10470,EAST 235 STREET,EAST 235 STREET,EAST 235 STREET,ONEIDA AVENUE,EAST 235 STREET,ONEIDA AVENUE,INTERSECTION,,,,Closed,,"Your complaint has been received but does not fall under the jurisdiction of the New York City Police Department.  Please contact your local precinct for more information, including which City agency your request was referred to. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2/19/2026 13:50,12 BRONX,11,Precinct 47,,BRONX,"1,019,481","266,111",ONLINE,Unspecified,BRONX,Truck,,,,,,,40.89701658,-73.87256444,POINT (-73.872564441033 40.897016583231)
68049165,2/19/2026 12:48,2/19/2026 12:48,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,,,10466,732 EAST  233 STREET,EAST  233 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2/19/2026 0:00,12 BRONX,11,Precinct 47,2048460059,BRONX,"1,024,006","264,663",UNKNOWN,Unspecified,BRONX,,,,,,,,40.89302306,-73.8562055,POINT (-73.856205495237 40.89302306102)
68045670,2/19/2026 12:48,3/6/2026 13:52,DSNY,Department of Sanitation,Illegal Posting,Poster or Sign,Other,Sidewalk,10314,2895 RICHMOND AVENUE,RICHMOND AVENUE,YUKON AVENUE,INDEPENDENCE AVENUE,YUKON AVENUE,INDEPENDENCE AVENUE,ADDRESS,STATEN ISLAND,RICHMOND AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,3/6/2026 13:52,02 STATEN ISLAND,51,Precinct 121,5024600082,STATEN ISLAND,"937,054","148,536",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.57424737,-74.16988976,POINT (-74.169889761947 40.574247365706)
68043884,2/19/2026 12:48,,TLC,Taxi and Limousine Commission,Taxi Complaint,Vehicle Complaint,Broken/Missing Equipment,Street,11430,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2/24/2026 8:25,83 QUEENS,31,Precinct 113,4142600001,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.64832049,-73.78828125,POINT (-73.788281251302 40.648320486201)
68045182,2/19/2026 12:48,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,MICE,RESIDENTIAL BUILDING,11201,42 HOYT STREET,HOYT STREET,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,2/19/2026 0:00,02 BROOKLYN,33,Precinct 84,3001640038,BROOKLYN,"988,140","190,409",PHONE,Unspecified,BROOKLYN,,,,,,,,40.68930464,-73.98597315,POINT (-73.985973151912 40.689304637456)
68046603,2/19/2026 12:42,2/21/2026 13:30,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10301,800 VICTORY BOULEVARD,VICTORY BOULEVARD,,,,,ADDRESS,STATEN ISLAND,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2/21/2026 0:00,01 STATEN ISLAND,49,Precinct 120,5005930001,STATEN ISLAND,"958,119","166,698",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62418546,-74.09413317,POINT (-74.094133167887 40.624185461008)
68049628,2/19/2026 12:42,2/21/2026 13:30,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10301,800 VICTORY BOULEVARD,VICTORY BOULEVARD,,,,,ADDRESS,STATEN ISLAND,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2/21/2026 0:00,01 STATEN ISLAND,49,Precinct 120,5005930001,STATEN ISLAND,"958,119","166,698",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62418546,-74.09413317,POINT (-74.094133167887 40.624185461008)
68048506,2/19/2026 12:42,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Passing By,Above Address,10025,250 WEST 93 STREET,WEST 93 STREET,BROADWAY,WEST END AVENUE,BROADWAY,WEST END AVENUE,ADDRESS,NEW YORK,WEST 93 STREET,,In Progress,,,,07 MANHATTAN,06,Precinct 24,1012400052,MANHATTAN,"991,519","228,171",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79294978,-73.9737481,POINT (-73.973748098652 40.792949781175)
68039509,2/19/2026 12:42,2/28/2026 10:49,DSNY,Department of Sanitation,Dirty Condition,Trash,Littering,Sidewalk,11226,2841 CHURCH AVENUE,CHURCH AVENUE,LLOYD STREET,NOSTRAND AVENUE,LLOYD STREET,NOSTRAND AVENUE,ADDRESS,BROOKLYN,CHURCH AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,2/28/2026 10:49,17 BROOKLYN,40,Precinct 67,3050910155,BROOKLYN,"997,960","176,371",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.65076371,-73.95059203,POINT (-73.950592029594 40.650763707865)
68047064,2/19/2026 12:42,2/25/2026 8:24,DHS,Department of Homeless Services,Encampment,N/A,,Street/Sidewalk,10001,119 WEST 31 STREET,WEST 31 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST 31 STREET,,Closed,,The Department of Homeless Services (DHS) outreach team attempted to engage the individuals at the reported location. DHS is coordinating with their agency partners. They will determine the best course of action. Your service request has been closed.,2/25/2026 8:24,05 MANHATTAN,03,Precinct 14,1008070028,MANHATTAN,"987,034","211,880",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74823778,-73.98995237,POINT (-73.989952367537 40.748237784241)
68047669,2/19/2026 11:42,3/10/2026 0:00,DSNY,Department of Sanitation,Graffiti,Graffiti,,,11221,1349 BROADWAY,BROADWAY,,,,,ADDRESS,BROOKLYN,,N/A,Closed,3/21/2026 11:42,The City has removed the graffiti from this property.,3/11/2026 6:14,04 BROOKLYN,37,Precinct 83,3033300053,BROOKLYN,"1,005,733","190,589",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68977348,-73.92253446,POINT (-73.922534464189 40.689773478026)
68047044,2/19/2026 11:42,2/20/2026 1:16,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,,Street,11421,88-40 85 STREET,85 STREET,88 ROAD,89 AVENUE,,,ADDRESS,WOODHAVEN,,DSNY Garage,Closed,,The owner claimed the vehicle.Ã‚Â Your request is now closed and no further action will be taken.,2/20/2026 12:00,09 QUEENS,32,Precinct 102,4089150037,QUEENS,"1,023,630","190,534",PHONE,Unspecified,QUEENS,,,,,,,,40.68956098,-73.85800009,POINT (-73.858000092322 40.689560979418)
68040772,2/19/2026 11:41,3/11/2026 0:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,,10025,80 WEST   93 STREET,WEST   93 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",3/11/2026 0:00,07 MANHATTAN,06,Precinct 24,,MANHATTAN,"993,076","227,312",UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.79059064,-73.96812614,POINT (-73.968126142161 40.790590639932)
68038581,2/19/2026 11:41,2/19/2026 15:47,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,10462,2212 MANNING STREET,MANNING STREET,CASTLE HILL AVENUE,GLEBE AVENUE,CASTLE HILL AVENUE,GLEBE AVENUE,ADDRESS,BRONX,MANNING STREET,,Closed,,"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2/19/2026 15:47,10 BRONX,18,Precinct 45,2039670065,BRONX,"1,025,205","244,267",ONLINE,Unspecified,BRONX,,,,,,,,40.83703682,-73.85199345,POINT (-73.851993454229 40.837036822528)
68041495,2/19/2026 11:41,2/19/2026 12:47,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,11205,58 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,NORTH PORTLAND AVENUE,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2/19/2026 12:47,02 BROOKLYN,35,Precinct 88,3020270001,BROOKLYN,"990,767","193,069",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69660418,-73.97649795,POINT (-73.976497949072 40.696604177689)
